Rank,Contractor,TotalCost,NumProjects,AvgDelay,TotalSavings,ReliabilityIndex,RiskFlag
1,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),7461429841.11,99,293.29,57784287.18,0.00,High Risk
2,"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)",5571167253.77,43,344.63,21131666.41,0.00,High Risk
3,QM BUILDERS,5561648399.87,75,233.97,2912517.20,0.00,High Risk
4,ST. TIMOTHY CONSTRUCTION CORPORATION,4781019339.35,77,275.57,64637489.11,0.00,High Risk
5,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.,4665741721.01,74,289.26,59801925.17,0.00,High Risk
6,HI-TONE CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY,3645407914.48,48,264.06,49374197.45,0.00,High Risk
7,"L.R. TIQUI BUILDERS, INC.",3516058642.15,41,329.51,36279749.11,0.00,High Risk
8,ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,3124038144.17,35,253.49,41683537.07,0.00,High Risk
9,CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC.,3063654299.11,46,298.39,309710972.14,0.00,High Risk
10,"M. MONTESCLAROS ENTERPRISES, INC.",3048143528.58,28,477.93,73121350.67,0.00,High Risk
11,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC. (FORMERLY TRIPLE 8 CONST. & SUPPLY)",2903046039.10,41,253.76,53588020.70,0.00,High Risk
12,MG SAMIDAN CONSTRUCTION,2831491351.49,32,230.69,2557448.69,0.00,High Risk
13,STO. CRISTO CONSTRUCTION & TRADING INC. (FOR: STO. CRISTO CONSTRUCTION & TRADING),2817068077.87,37,262.81,56999181.49,0.00,High Risk
14,BICOL GOLDROCK CONSTRUCTION CORPORATION,2803568829.10,39,269.21,10375390.61,0.00,High Risk
15,GREAT PACIFIC BUILDERS AND GEN. CONTRACTOR INC.,2773389887.49,35,287.49,9678954.23,0.00,High Risk
16,HGG BUILDERS & SUPPLY,2756187577.29,20,328.90,1045505.56,0.00,High Risk
17,EIGHT J'S CONSTRUCTION SERVICES,2677471369.61,33,256.00,39280382.86,0.00,High Risk
18,ST. MATTHEW GEN. CONTRACTOR & DEVELOPMENT CORP.,2553165293.33,37,268.84,16978420.82,0.00,High Risk
19,ROAD EDGE TRADING & DEVELOPMENT SERVICES,2544259704.64,38,294.34,47638340.21,0.00,High Risk
20,WAWAO BUILDERS,2387075589.48,36,201.97,13451764.99,0.00,High Risk
21,FLORDES CONSTRUCTION & TRADING CORP. (FORMERLY FLO,2340939916.51,30,336.17,35457245.54,0.00,High Risk
22,"E. F. CHUA CONSTRUCTION, INC.",2132319060.51,30,269.40,4790627.21,0.00,High Risk
23,"NEWBIG FOUR J CONSTRUCTION INC., (FORMERLY FOUR J",2118360041.61,22,335.00,14743383.41,0.00,High Risk
24,GENESIS88 CONSTRUCTION INC.,2070271100.00,28,336.32,140000.00,0.00,High Risk
25,QUIRANTE CONSTRUCTION CORPORATION (FORMERLY: QUIRANTE CONSTRUCTION),2001141507.10,26,238.85,613859.96,0.00,High Risk
26,NORTHERN BUILDERS,1968794385.90,20,260.65,22690353.93,0.00,High Risk
27,MAKAPA CORPORATION,1957232017.26,22,300.91,293511395.30,0.00,High Risk
28,G.C.I. CONSTRUCTION AND DEV'T. CORP.,1904889290.55,23,255.87,7189548.89,0.00,High Risk
29,EQUI-PARCO CONSTRUCTION COMPANY,1867745743.26,18,377.67,34154256.74,0.00,High Risk
30,M3 KONSTRACT CORPORATION (FORMERLY:MARGARITA CONSTRUCTION),1778503812.22,24,296.71,20759976.16,0.00,High Risk
31,JAIME B. CHING ENTERPRISES,1772594750.78,30,299.37,637334.02,0.00,High Risk
32,CM TAN CONSTRUCTION,1756304377.25,18,354.11,1803988.61,0.00,High Risk
33,RITCHE-NATHALIE BUILDERS & GENERAL MERCHANDISE,1744060447.33,25,271.28,13873472.67,0.00,High Risk
34,"GICAR CONSTRUCTION, INC.",1732524531.92,20,372.70,11627161.19,0.00,High Risk
35,GRAIA CONSTRUCTION CORPORATION,1725807173.53,20,354.85,202485.92,0.00,High Risk
36,"JTC CRUZ CONSTRUCTION CO., INC.",1724666885.18,21,293.76,14375207.81,0.00,High Risk
37,VEN RAY CONSTRUCTION CORPORATION,1688743240.74,28,391.14,30192004.26,0.00,High Risk
38,MEGAPOLITAN BUILDERS AND CONSTRUCTION SUPPLY,1659484064.88,33,232.15,6603727.52,0.00,High Risk
39,WTG CONSTRUCTION & DEVELOPMENT CORPORATION,1591615996.03,22,269.14,6874499.46,0.00,High Risk
40,RJIR ENTERPRISES CORPORATION,1568697124.32,30,319.93,11123681.54,0.00,High Risk
41,A.C. SOLIVEN CONSTRUCTION & GENERAL MERCHANDISE,1560115465.07,30,182.43,24568354.96,0.00,High Risk
42,11-16 CONSTRUCTION,1545687810.69,24,264.00,13841287.76,0.00,High Risk
43,EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),1529505969.79,25,257.12,997857.51,0.00,High Risk
44,"A.D. PENDON CONSTRUCTION & SUPPLY, INC. (FORMERLY: ADP CONSTRUCTION & SUPPLY)",1509165185.96,25,449.36,8259497.57,0.00,High Risk
45,TOPNOTCH CATALYST BUILDERS INC.,1481636837.16,29,217.14,1040415.73,0.00,High Risk
46,JEJOR'S CONSTRUCTION CORPORATION,1446112518.95,18,561.83,86470449.29,0.00,High Risk
47,739 BUILDERS,1445817754.80,23,220.04,8630966.95,0.00,High Risk
48,ME 3 CONSTRUCTION / EQUI-PARCO CONSTRUCTION COMPANY,1437848918.18,6,429.83,1081.82,0.00,High Risk
49,"F. GURREA CONSTRUCTION, INCORPORATED",1437197502.07,18,462.33,49969823.53,0.00,High Risk
50,JELSIE CONSTRUCTION & SUPPLY,1410732792.57,23,235.04,11396173.37,0.00,High Risk
51,ST. GERRARD CONSTRUCTION GEN. CONTRACTOR & DEVELOPMENT CORP. (FORMERLY:ST. GERRARD CONSTRUCTION),1386492779.73,17,313.76,50263337.90,0.00,High Risk
52,V.B. MANUBAY CONSTRUCTION,1383869528.67,17,162.47,86621.33,0.00,High Risk
53,AMP 723 CONSTRUCTION CORPORATION (FORMERLY: A.M.P. CONSTRUCTION),1348166602.23,19,209.05,1363397.77,0.00,High Risk
54,ADFIL CORPORATION,1338579818.97,13,319.54,769872.10,0.00,High Risk
55,TRIPARCO DEVELOPMENT CORPORATION,1308182891.88,17,385.35,21352440.53,0.00,High Risk
56,SILVERWOLVES CONSTRUCTION CORPORATION,1302563708.41,10,281.80,186268.58,0.00,High Risk
57,EUS CONSTRUCTION,1276788396.11,25,261.76,9222647.90,0.00,High Risk
58,VICENTE T. LAO CONSTRUCTION,1254334932.97,21,384.57,1201379.71,0.00,High Risk
59,YPR GEN. CONTRACTOR AND CONSTRUCTION SUPPLY INC.,1246047889.88,15,246.07,1924991.23,0.00,High Risk
60,IM CONSTRUCTION CORPORATION,1211012820.55,25,238.68,18690920.72,0.00,High Risk
61,ROSBILL CONSTRUCTION AND SUPPLY,1207985119.66,17,289.18,9514880.34,0.00,High Risk
62,ASC CONSTRUCTION & CONCRETE PRODUCTS,1195297873.68,20,359.45,25954553.71,0.00,High Risk
63,MA TESORO CONSTRUCTION / EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),1187447853.66,15,271.60,12146.34,0.00,High Risk
64,ORANI CONSTRUCTION AND SUPPLY CORPORATION (FORMERLY:ORANI BUILDERS & SUPPLY),1183132033.25,20,246.70,10482057.01,0.00,High Risk
65,DRAGON TWELVE BUILDERS & CONSTRUCTION SUPPLY,1173950626.52,27,190.19,2201502.86,0.00,High Risk
66,FERDSTAR BUILDERS INC.,1157247649.44,13,229.77,6722315.91,0.00,High Risk
67,RAMARPLUS INCORPORATED (FORMERLY RAMAR ENTERPRISES,1150172190.64,15,269.60,412619750.17,0.00,High Risk
68,DMLC BUILDERS,1148880080.53,16,317.44,10855287.02,0.00,High Risk
69,BET CONSTRUCTION & SUPPLY,1147392691.15,23,287.22,3648083.85,0.00,High Risk
70,AARCON BUILDERS,1140041027.94,23,330.78,52705946.84,0.00,High Risk
71,A.R.L. CONSTRUCTION,1093599455.48,15,253.33,2544284.98,0.00,High Risk
72,LANOY CONSTRUCTION,1079686915.65,18,369.72,7581944.56,0.00,High Risk
73,TOPNOTCH CATALYST BUILDERS INC. / BLACK HARDHAT INC. (FORMERLY: JCHARDHAT INC.),1071012295.05,18,238.28,13110197.45,0.00,High Risk
